ID	Name	Type	Action	Stat	Description	Buy	Sell	Discoverable
811	TM692	Machine	692		Teaches the move Dragon Hammer.	2700	540	1
812	TM693	Machine	693		Teaches the move Brutal Swing.	1800	360	1
813	TM694	Machine	694		Teaches the move Aurora Veil.	500	100	1
814	TM695	Machine	695		Teaches the move Sinister Arrow Raid.	5400	1080	1
815	TM696	Machine	696		Teaches the move Malicious Moonsault.	5400	1080	1
816	TM697	Machine	697		Teaches the move Oceanic Operetta.	5850	1170	1
817	TM698	Machine	698		Teaches the move Guardian of Alola.	500	100	1
818	TM699	Machine	699		Teaches the move Soul-Stealing 7-Star Strike.	5850	1170	1
819	HM700	Machine	700		Teaches the move Stoked Sparksurfer.	5250	1050	0
820	TM701	Machine	701		Teaches the move Pulverizing Pancake.	6300	1260	1
821	TM702	Machine	702		Teaches the move Extreme Evoboost.	500	100	1
822	TM703	Machine	703		Teaches the move Genesis Supernova.	5550	1110	1
823	TM704	Machine	704		Teaches the move Shell Trap.	4500	900	1
824	TM705	Machine	705		Teaches the move Fleur Cannon.	3900	780	1
825	TM706	Machine	706		Teaches the move Psychic Fangs.	2550	510	1
826	TM707	Machine	707		Teaches the move Stomping Tantrum.	2250	450	1
827	TM708	Machine	708		Teaches the move Shadow Bone.	2550	510	1
828	TM709	Machine	709		Teaches the move Accelerock.	1200	240	1
829	TM710	Machine	710		Teaches the move Liquidation.	2550	510	1
830	TM711	Machine	711		Teaches the move Prismatic Laser.	4800	960	1
831	TM712	Machine	712		Teaches the move Spectral Thief.	2700	540	1
832	TM713	Machine	713		Teaches the move Sunsteel Strike.	3000	600	1
833	TM714	Machine	714		Teaches the move Moongeist Beam.	3000	600	1
834	TM715	Machine	715		Teaches the move Tearful Look.	500	100	1
835	TM716	Machine	716		Teaches the move Zing Zap.	2400	480	1
836	TM717	Machine	717		Teaches the move Nature's Madness.	500	100	1
837	TM718	Machine	718		Teaches the move Multi-Attack.	3600	720	1
838	TM719	Machine	719		Teaches the move 10,000,000 Volt Thunderbolt.	5850	1170	1
839	TM720	Machine	720		Teaches the move Mind Blown.	4500	900	1
840	TM721	Machine	721		Teaches the move Plasma Fists.	3000	600	1
841	TM722	Machine	722		Teaches the move Photon Geyser.	3000	600	1
842	TM723	Machine	723		Teaches the move Light That Burns the Sky.	6000	1200	1
843	TM724	Machine	724		Teaches the move Searing Sunraze Smash.	6000	1200	1
844	TM725	Machine	725		Teaches the move Menacing Moonraze Maelstrom.	6000	1200	1
845	TM726	Machine	726		Teaches the move Let's Snuggle Forever.	5700	1140	1
846	TM727	Machine	727		Teaches the move Splintered Stormshards.	5700	1140	1
847	TM728	Machine	728		Teaches the move Clangorous Soulblaze.	5550	1110	1
848	TM729	Machine	729		Teaches the move Zippy Zap.	2400	480	1
849	TM730	Machine	730		Teaches the move Splishy Splash.	2700	540	1
850	TM731	Machine	731		Teaches the move Floaty Fall.	2700	540	1
851	TM732	Machine	732		Teaches the move Pika Papow.	500	100	1
852	TM733	Machine	733		Teaches the move Bouncy Bubble.	1800	360	1
853	TM734	Machine	734		Teaches the move Buzzy Buzz.	1800	360	1
854	TM735	Machine	735		Teaches the move Sizzly Slide.	1800	360	1
855	TM736	Machine	736		Teaches the move Glitzy Glow.	2400	480	1
856	TM737	Machine	737		Teaches the move Baddy Bad.	2400	480	1
857	TM738	Machine	738		Teaches the move Sappy Seed.	3000	600	1
858	TM739	Machine	739		Teaches the move Freezy Frost.	3000	600	1
859	TM740	Machine	740		Teaches the move Sparkly Swirl.	3600	720	1
860	TM741	Machine	741		Teaches the move Veevee Volley.	500	100	1
861	TM742	Machine	742		Teaches the move Double Iron Bash.	1800	360	1
862	TM743	Machine	743		Teaches the move Max Guard.	500	100	1
863	TM744	Machine	744		Teaches the move Dynamax Cannon.	3000	600	1
864	TM745	Machine	745		Teaches the move Snipe Shot.	2400	480	1
865	TM746	Machine	746		Teaches the move Jaw Lock.	2400	480	1
866	TM747	Machine	747		Teaches the move Stuff Cheeks.	500	100	1
867	TM748	Machine	748		Teaches the move No Retreat.	500	100	1
868	TM749	Machine	749		Teaches the move Tar Shot.	500	100	1
869	TM750	Machine	750		Teaches the move Magic Powder.	500	100	1
870	TM751	Machine	751		Teaches the move Dragon Darts.	1500	300	1
871	TM752	Machine	752		Teaches the move Teatime.	500	100	1
872	TM753	Machine	753		Teaches the move Octolock.	500	100	1
873	TM754	Machine	754		Teaches the move Bolt Beak.	2550	510	1
874	TM755	Machine	755		Teaches the move Fishious Rend.	2550	510	1
875	TM756	Machine	756		Teaches the move Court Change.	500	100	1
876	TM757	Machine	757		Teaches the move Max Flare.	500	100	1
877	TM758	Machine	758		Teaches the move Max Flutterby.	500	100	1
878	TM759	Machine	759		Teaches the move Max Lightning.	500	100	1
879	TM760	Machine	760		Teaches the move Max Strike.	500	100	1
880	TM761	Machine	761		Teaches the move Max Knuckle.	500	100	1
881	TM762	Machine	762		Teaches the move Max Phantasm.	500	100	1
882	TM763	Machine	763		Teaches the move Max Hailstorm.	500	100	1
883	TM764	Machine	764		Teaches the move Max Ooze.	500	100	1
884	TM765	Machine	765		Teaches the move Max Geyser.	500	100	1
885	TM766	Machine	766		Teaches the move Max Airstream.	500	100	1
886	TM767	Machine	767		Teaches the move Max Starfall.	500	100	1
887	TM768	Machine	768		Teaches the move Max Wyrmwind.	500	100	1
888	TM769	Machine	769		Teaches the move Max Mindstorm.	500	100	1
889	TM770	Machine	770		Teaches the move Max Rockfall.	500	100	1
890	TM771	Machine	771		Teaches the move Max Quake.	500	100	1
891	TM772	Machine	772		Teaches the move Max Darkness.	500	100	1
892	TM773	Machine	773		Teaches the move Max Overgrowth.	500	100	1
893	TM774	Machine	774		Teaches the move Max Steelspike.	500	100	1
894	TM775	Machine	775		Teaches the move Clangorous Soul.	500	100	1
895	TM776	Machine	776		Teaches the move Body Press.	2400	480	1
896	TM777	Machine	777		Teaches the move Decorate.	500	100	1
897	TM778	Machine	778		Teaches the move Drum Beating.	2400	480	1
898	TM779	Machine	779		Teaches the move Snap Trap.	1050	210	1
899	TM780	Machine	780		Teaches the move Pyro Ball.	3600	720	1
900	TM781	Machine	781		Teaches the move Behemoth Blade.	3000	600	1
901	TM782	Machine	782		Teaches the move Behemoth Bash.	3000	600	1
902	TM783	Machine	783		Teaches the move Aura Wheel.	3300	660	1
903	TM784	Machine	784		Teaches the move Breaking Swipe.	1800	360	1
904	TM785	Machine	785		Teaches the move Branch Poke.	1200	240	1
905	TM786	Machine	786		Teaches the move Overdrive.	2400	480	1
906	TM787	Machine	787		Teaches the move Apple Acid.	2400	480	1
907	TM788	Machine	788		Teaches the move Grav Apple.	2400	480	1
908	TM789	Machine	789		Teaches the move Spirit Break.	2250	450	1
909	TM790	Machine	790		Teaches the move Strange Steam.	2700	540	1
910	TM791	Machine	791		Teaches the move Life Dew.	500	100	1
911	TM792	Machine	792		Teaches the move Obstruct.	500	100	1
912	TM793	Machine	793		Teaches the move False Surrender.	2400	480	1
913	TM794	Machine	794		Teaches the move Meteor Assault.	4500	900	1
914	TM795	Machine	795		Teaches the move Eternabeam.	4800	960	1
915	TM796	Machine	796		Teaches the move Steel Beam.	4200	840	1
916	TM797	Machine	797		Teaches the move Expanding Force.	2400	480	1
917	TM798	Machine	798		Teaches the move Steel Roller.	3900	780	1
918	TM799	Machine	799		Teaches the move Scale Shot.	750	150	1
919	TM800	Machine	800		Teaches the move Meteor Beam.	3600	720	1
920	TM801	Machine	801		Teaches the move Shell Side Arm.	2700	540	1
921	TM802	Machine	802		Teaches the move Misty Explosion.	3000	600	1
922	TM803	Machine	803		Teaches the move Grassy Glide.	2100	420	1
923	TM804	Machine	804		Teaches the move Rising Voltage.	2100	420	1
924	TM805	Machine	805		Teaches the move Terrain Pulse.	1500	300	1
925	TM806	Machine	806		Teaches the move Skitter Smack.	2100	420	1
926	TM807	Machine	807		Teaches the move Burning Jealousy.	2100	420	1
927	TM808	Machine	808		Teaches the move Lash Out.	2250	450	1
928	TM809	Machine	809		Teaches the move Poltergeist.	3300	660	1
929	TM810	Machine	810		Teaches the move Corrosive Gas.	500	100	1
930	TM811	Machine	811		Teaches the move Coaching.	500	100	1
931	TM812	Machine	812		Teaches the move Flip Turn.	1800	360	1
932	TM813	Machine	813		Teaches the move Triple Axel.	600	120	1
933	TM814	Machine	814		Teaches the move Dual Wingbeat.	1200	240	1
934	TM815	Machine	815		Teaches the move Scorching Sands.	2100	420	1
935	TM816	Machine	816		Teaches the move Jungle Healing.	500	100	1
936	TM817	Machine	817		Teaches the move Wicked Blow.	2400	480	1
937	TM818	Machine	818		Teaches the move Surging Strikes.	750	150	1
938	TM819	Machine	819		Teaches the move Thunder Cage.	2400	480	1
939	TM820	Machine	820		Teaches the move Dragon Energy.	4500	900	1
940	TM821	Machine	821		Teaches the move Freezing Glare.	2700	540	1
941	TM822	Machine	822		Teaches the move Fiery Wrath.	2700	540	1
942	TM823	Machine	823		Teaches the move Thunderous Kick.	2700	540	1
943	TM824	Machine	824		Teaches the move Glacial Lance.	3900	780	1
944	TM825	Machine	825		Teaches the move Astral Barrage.	3600	720	1
945	TM826	Machine	826		Teaches the move Eerie Spell.	2400	480	1
946	TM827	Machine	827		Teaches the move Dire Claw.	1800	360	1
947	TM828	Machine	828		Teaches the move Psyshield Bash.	2100	420	1
948	TM829	Machine	829		Teaches the move Power Shift.	500	100	1
949	TM830	Machine	830		Teaches the move Stone Axe.	1950	390	1
950	TM831	Machine	831		Teaches the move Springtide Storm.	2850	570	1
951	TM832	Machine	832		Teaches the move Mystical Power.	2100	420	1
952	TM833	Machine	833		Teaches the move Raging Fury.	2700	540	1
953	TM834	Machine	834		Teaches the move Wave Crash.	2250	450	1
954	TM835	Machine	835		Teaches the move Chloroblast.	3600	720	1
955	TM836	Machine	836		Teaches the move Mountain Gale.	3000	600	1
956	TM837	Machine	837		Teaches the move Victory Dance.	500	100	1
957	TM838	Machine	838		Teaches the move Headlong Rush.	3000	600	1
958	TM839	Machine	839		Teaches the move Barb Barrage.	1800	360	1
959	TM840	Machine	840		Teaches the move Esper Wing.	2250	450	1
960	TM841	Machine	841		Teaches the move Bitter Malice.	1800	360	1
961	TM842	Machine	842		Teaches the move Shelter.	500	100	1
962	TM843	Machine	843		Teaches the move Triple Arrows.	1500	300	1
963	TM844	Machine	844		Teaches the move Infernal Parade.	1800	360	1
964	TM845	Machine	845		Teaches the move Ceaseless Edge.	1950	390	1
965	TM846	Machine	846		Teaches the move Bleakwind Storm.	2850	570	1
966	TM847	Machine	847		Teaches the move Wildbolt Storm.	2850	570	1
967	TM848	Machine	848		Teaches the move Sandsear Storm.	2850	570	1
968	TM849	Machine	849		Teaches the move Lunar Blessing.	500	100	1
969	TM850	Machine	850		Teaches the move Take Heart.	500	100	1
